City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Sembe,CG,1.65,14.58,73.02,88,100,2.19,overcast clouds
84,Mount Isa,AU,-20.73,139.5,69.8,49,0,11.41,clear sky
85,Hami,CN,42.8,93.45,46.51,52,86,8.57,overcast clouds
86,Russell,US,32.35,-85.2,69.8,94,90,1.61,heavy intensity rain
87,Tasiilaq,GL,65.61,-37.64,32.0,92,98,1.95,overcast clouds
88,East London,ZA,-33.02,27.91,69.82,83,1,0.98,clear sky
89,Fenoarivo,MG,-18.93,47.44,59.0,87,20,6.93,few clouds
90,Octeville,FR,49.63,-1.64,55.4,93,100,20.8,heavy intensity rain
91,Karasjok,NO,69.47,25.51,37.4,86,99,25.28,overcast clouds
92,Tetouan,MA,35.57,-5.37,62.6,82,20,6.93,few clouds
93,Kribi,CM,2.95,9.92,78.26,86,100,6.29,overcast clouds
94,Cervo,ES,43.67,-7.41,62.01,89,70,7.0,moderate rain
95,Arinos,BR,-15.92,-46.11,70.23,93,100,1.7,overcast clouds
96,Komsomolskiy,UZ,40.43,71.72,46.4,52,100,6.93,overcast clouds
97,Cape Town,ZA,-33.93,18.42,61.0,93,20,3.36,few clouds
98,Wellington,NZ,-41.29,174.78,60.8,100,75,21.92,broken clouds
99,Saint-Louis,SN,16.33,-15.0,95.99,12,100,11.52,overcast clouds
100,Yaan,NG,7.38,8.57,76.1,91,100,8.32,light rain
101,Cabo Rojo,PR,18.09,-67.15,86.0,73,27,3.0,scattered clouds
102,Namibe,AO,-15.2,12.15,68.76,79,83,5.5,broken clouds
103,Vila Velha,BR,-20.33,-40.29,72.0,100,75,4.7,moderate rain
104,Inongo,CD,-1.95,18.27,72.5,95,100,3.89,overcast clouds
105,Vestmannaeyjar,IS,63.44,-20.27,46.31,63,94,26.37,overcast clouds
106,Kruisfontein,ZA,-34.0,24.73,64.0,82,0,1.01,clear sky
107,Mahebourg,MU,-20.41,57.7,71.6,88,75,12.75,shower rain
108,Ribeira Grande,PT,38.52,-28.7,66.2,93,40,17.22,scattered clouds
109,Yantzaza,EC,-3.83,-78.76,86.31,47,54,1.23,light rain
110,Chokurdakh,RU,70.63,147.92,16.84,97,100,7.23,overcast clouds
111,Urumqi,CN,43.8,87.6,42.8,81,0,4.47,clear sky
112,La Ronge,CA,55.1,-105.28,24.8,53,90,11.41,light snow
113,Ancud,CL,-41.87,-73.82,52.0,87,90,12.75,shower rain
114,Toktogul,KG,41.87,72.94,45.57,55,94,0.4,overcast clouds
115,Pasni,PK,25.26,63.47,77.31,31,0,27.98,clear sky
116,Cabo San Lucas,MX,22.89,-109.91,90.0,58,20,9.17,few clouds
117,Zhigansk,RU,66.77,123.37,21.04,96,100,23.29,light snow
118,Brigantine,US,39.41,-74.36,73.4,69,75,5.82,broken clouds
119,Phonhong,LA,18.5,102.42,68.95,86,78,2.26,broken clouds
120,Saint-Philippe,RE,-21.36,55.77,71.6,60,0,8.05,clear sky
121,Bengkulu,ID,-3.8,102.27,76.28,85,100,4.34,light rain
122,Chuy,UY,-33.7,-53.46,66.92,88,23,7.58,few clouds
123,Ratnagiri,IN,16.98,73.3,76.68,88,50,5.59,scattered clouds
124,Saint-Michel-Des-Saints,CA,46.68,-73.92,35.71,80,43,8.57,scattered clouds
125,Pisco,PE,-13.7,-76.22,66.2,77,0,17.22,clear sky
126,Srednekolymsk,RU,67.45,153.68,13.57,94,1,5.19,clear sky
127,Shenjiamen,CN,29.96,122.3,60.22,66,2,5.1,clear sky
128,Qaanaaq,GL,77.48,-69.36,17.22,92,100,12.62,overcast clouds
129,Lavrentiya,RU,65.58,-171.0,33.3,88,59,7.2,broken clouds
130,Severo-Kurilsk,RU,50.68,156.12,46.94,91,100,29.19,moderate rain
131,Khor,RU,47.89,134.95,35.94,91,100,8.05,overcast clouds
132,Vao,NC,-22.67,167.48,73.04,81,60,13.89,broken clouds
133,Banepa,NP,27.63,85.52,59.0,87,20,2.24,few clouds
134,Smithers,CA,54.78,-127.17,28.4,42,20,4.7,few clouds
135,Portland,US,45.52,-122.68,51.01,57,90,20.8,overcast clouds
